SAMPLINGDATE,SO2,NO2,RSPM,SPM,,,
03-01-05,5.2,40.4,101,287,,,
07-01-05,5.7,40.7,140,408,,,
11-01-05,4.7,32.2,114,315,,,
15-01-05,5,36.3,130,333,,,
17-01-05,4.8,37.1,113,277,,,
22-01-05,4.5,34,72,194,,,
24-01-05,4.8,34.5,72,184,,,
28-01-05,4.9,34.9,49,207,,,
31-01-05,4.8,37.8,44,130,,,
04-02-05,4.4,34.6,71,186,,,
11-02-05,4.8,31.1,107,271,,,
14-02-05,5.3,41.8,108,331,,,
18-02-05,4.6,32.1,108,360,,,
21-02-05,5.5,37.8,86,309,,,
25-02-05,4.9,35.5,89,361,,,
27-02-05,5.3,29.8,86,380,,,
02-03-05,5,57.2,96,408,,,
05-03-05,5.4,38.1,88,428,,,
06-03-05,5.9,37.6,89,447,,,
13-03-05,5,40.5,107,416,,,
15-03-05,5.2,76.2,164,431,,,
19-03-05,4.8,43.1,89,363,,,
22-03-05,5.2,33.1,103,393,,,
27-03-05,5.5,43.3,128,411,,,
30-03-05,4.6,39.7,93,389,,,
01-04-05,4.9,49,103,375,,,
05-04-05,5.1,36.3,57,210,,,
07-04-05,5.1,33.3,52,172,,,
12-04-05,4.8,27.3,65,191,,,
15-04-05,6.9,38.8,81,318,,,
19-04-05,4.9,18.4,85,294,,,
20-04-05,5.1,24.9,75,240,,,
23-04-05,4.8,42.2,74,276,,,
26-04-05,5.2,53.6,86,209,,,
01-05-05,5.4,34.2,100,304,,,
05-05-05,5.5,34.4,66,248,,,
10-05-05,4.7,42.1,96,285,,,
13-05-05,4.6,24.6,100,351,,,
15-05-05,4.6,18.8,113,343,,,
19-05-05,4.6,18.5,63,315,,,
21-05-05,4.7,45.7,153,427,,,
24-05-05,4.6,53.3,153,400,,,
28-05-05,4.6,33.4,151,407,,,
03-06-05,5,34.5,105,469,,,
05-06-05,4.7,31.9,64,469,,,
08-06-05,5.1,26.3,112,521,,,
11-06-05,5.5,35,92,469,,,
14-06-05,4.9,28.6,101,386,,,
17-06-05,4.9,27.3,55,491,,,
21-06-05,4.9,15.2,32,376,,,
23-06-05,5.1,26.2,62,439,,,
28-06-05,4.9,21.1,35,273,,,
01-07-05,4.8,24,37,338,,,
03-07-05,4.7,20.8,54,372,,,
07-07-05,5.1,20.3,60,417,,,
12-07-05,5.1,21.7,88,474,,,
16-07-05,4.6,26.4,58,512,,,
19-07-05,4.5,23.9,48,358,,,
24-07-05,4.9,23.5,33,112,,,
27-07-05,4.7,22.6,66,343,,,
29-07-05,4.7,20.8,55,290,,,
02-08-05,4.6,16.8,35,314,,,
04-08-05,4.5,18.4,40,269,,,
09-08-05,4.4,20.8,39,144,,,
13-08-05,5.3,28.8,33,167,,,
16-08-05,4.3,19.7,39,335,,,
21-08-05,4.4,19.5,52,349,,,
24-08-05,5.2,25.9,69,241,,,
26-08-05,4.4,25.7,126,331,,,
30-08-05,4.6,27.9,82,376,,,
02-09-05,5.9,33.5,93,171,,,
05-09-05,5.5,20.6,63,185,,,
08-09-05,5.2,24.8,78,181,,,
13-09-05,5.4,26.6,60,175,,,
16-09-05,5.8,25.1,79,177,,,
22-09-05,5.5,23.4,75,195,,,
24-09-05,5.6,27.4,75,202,,,
25-09-05,4.8,26.4,82,220,,,
28-09-05,5.5,26.8,92,239,,,
04-10-05,5,27,80,275,,,
07-10-05,4.9,29.6,110,281,,,
09-10-05,4.7,22,71,224,,,
13-10-05,4.9,18.8,65,232,,,
15-10-05,4.6,26.6,61,194,,,
19-10-05,4.8,35.4,115,311,,,
23-10-05,4.6,21.5,115,247,,,
27-10-05,4.9,25.3,83,269,,,
29-10-05,4.9,22.2,68,219,,,
05-11-05,4.8,23.4,83,228,,,
07-11-05,4.7,25.1,89,287,,,
10-11-05,4.9,31.6,138,305,,,
13-11-05,4.9,31.6,107,324,,,
16-11-05,4.8,36.9,117,379,,,
18-11-05,4.5,24.5,118,301,,,
22-11-05,4.7,24.1,102,253,,,
26-11-05,4.8,33.3,132,315,,,
29-11-05,5.4,32.4,108,284,,,
02-12-05,5,36.1,124,322,,,
06-12-05,5.9,41.7,98,311,,,
08-12-05,4.6,60,136,348,,,
11-12-05,4.6,31.9,102,281,,,
14-12-05,6.7,32,145,375,,,
16-12-05,4.8,33.5,140,367,,,
20-12-05,7,29.5,119,274,,,
24-12-05,5.1,38.1,102,256,,,
03-01-06,5,27.7,122,295,,,
05-01-06,5.1,33.3,154,359,,,
08-01-06,4.9,37.6,139,379,,,
10-02-06,6,37,151,361,,,
14-02-06,11.3,69.2,175,467,,,
18-02-06,8.8,41.7,198,443,,,
21-02-06,13.8,36.8,156,375,,,
24-02-06,5.3,50.5,152,406,,,
27-02-06,6.9,32.1,108,322,,,
02-03-06,8,23.2,93,265,,,
05-03-06,7.4,26.9,76,231,,,
09-03-06,6.1,31.5,87,283,,,
11-03-06,5.7,30.9,81,241,,,
14-03-06,5.1,22,91,264,,,
17-03-06,5.3,29.7,104,269,,,
20-03-06,5.5,30.8,95,257,,,
24-03-06,15.1,46.8,152,350,,,
27-03-06,7.6,33,113,277,,,
02-04-06,7.2,33.3,80,245,,,
06-04-06,5.4,26.8,103,271,,,
08-04-06,5.5,27.8,93,262,,,
11-04-06,10,41.8,107,283,,,
14-04-06,8.5,37.8,97,283,,,
21-04-06,6.3,29.5,105,299,,,
25-04-06,6.7,34.4,99,295,,,
26-04-06,8,29.8,102,270,,,
29-04-06,9.4,34.7,121,311,,,
02-05-06,5,28.8,93,270,,,
04-05-06,6.8,28.3,89,278,,,
06-05-06,5.1,31.5,101,281,,,
09-05-06,6.5,30,88,254,,,
12-05-06,6.3,31.2,130,306,,,
16-05-06,7,31.5,96,296,,,
19-05-06,5.6,26.5,117,293,,,
22-05-06,5.5,30.4,100,300,,,
24-05-06,5.4,28.2,72,206,,,
27-05-06,5.9,32.2,92,291,,,
02-06-06,5.5,29.6,86,281,,,
05-06-06,5.7,31.4,100,315,,,
07-06-06,6.3,32.8,95,285,,,
09-06-06,5.7,32.6,114,315,,,
13-06-06,6.2,34.3,91,263,,,
16-06-06,6.8,28.2,118,335,,,
20-06-06,6.1,33.7,96,292,,,
23-06-06,6.6,35.7,97,295,,,
27-06-06,5.4,27.5,97,304,,,
01-07-06,5.1,31.1,92,276,,,
04-07-06,5.5,28.4,54,192,,,
07-07-06,5.2,29.3,74,192,,,
09-07-06,5.9,32.2,85,249,,,
12-07-06,5.9,31.1,74,231,,,
15-07-06,5.5,31.2,77,235,,,
17-07-06,5.5,30.6,97,281,,,
20-07-06,5.5,30.6,82,254,,,
25-07-06,5.3,29.4,93,299,,,
03-08-06,4.9,27.2,60,222,,,
06-08-06,4.8,30.3,62,182,,,
09-08-06,5.5,27.9,90,277,,,
12-08-06,5.2,30.1,30,118,,,
14-08-06,5.4,29.8,67,219,,,
17-08-06,4.7,28.7,38,124,,,
21-08-06,4.9,28.8,55,164,,,
25-08-06,7.7,41.3,92,280,,,
30-08-06,5.8,32.9,57,205,,,
04-09-06,5.2,27.2,65,230,,,
06-09-06,5.1,26.8,50,172,,,
09-09-06,6.2,26.4,56,182,,,
11-09-06,5.1,29.8,62,182,,,
14-09-06,8.1,36.3,88,261,,,
18-09-06,5.7,26.8,43,151,,,
22-09-06,5.5,31.2,64,185,,,
24-09-06,5.4,28.2,72,206,,,
27-09-06,5.4,32,66,203,,,
04-10-06,7.2,40.7,67,177,,,
11-10-06,6,46.9,153,364,,,
12-10-06,12.3,35.4,115,369,,,
16-10-06,5.1,41.7,128,399,,,
24-10-06,6.1,35.7,93,279,,,
25-10-06,6.1,34.4,81,261,,,
27-10-06,5.3,38.1,82,269,,,
28-10-06,5.4,32,51,174,,,
31-10-06,5.1,48.3,52,170,,,
01-11-06,5.3,36.5,61,237,,,
04-11-06,5,32.6,83,257,,,
07-11-06,5,35.4,122,360,,,
09-11-06,5.2,32.3,108,305,,,
13-11-06,5,33.1,94,292,,,
17-11-06,5.3,29.9,112,317,,,
19-11-06,5.1,35.3,107,271,,,
22-11-06,5.1,36.2,128,311,,,
25-11-06,5.4,34.1,101,333,,,
02-12-06,5.5,34.1,130,303,,,
05-12-06,5.6,35.9,121,283,,,
08-12-06,6.2,31.1,187,448,,,
11-12-06,5.5,32,115,329,,,
17-12-06,5.5,36.9,122,359,,,
20-12-06,5.9,49.6,95,281,,,
23-12-06,5.4,34.6,130,377,,,
26-12-06,5.5,54.8,156,393,,,
29-12-06,5.9,48.8,158,378,,,
02-01-07,5.7,40.7,136,367,,,
04-01-07,5.2,48.5,163,371,,,
08-01-07,5.6,56.9,120,373,,,
10-01-07,5.1,52.6,152,366,,,
14-01-07,5.2,37.3,116,378,,,
16-01-07,5.5,56.7,105,334,,,
20-01-07,7.2,66.6,169,433,,,
22-01-07,7.2,66.6,192,386,,,
26-01-07,5.1,35.7,118,321,,,
04-02-07,5,37.8,94,268,,,
08-02-07,5.3,36.4,80,303,,,
10-02-07,5.5,37.3,68,337,,,
14-02-07,5.5,41.5,105,317,,,
16-02-07,5.4,33.3,117,316,,,
20-02-07,5.1,35.5,110,340,,,
22-02-07,5.4,42.9,181,471,,,
26-02-07,5.7,41.6,102,351,,,
28-02-07,5,34.9,104,371,,,
02-03-07,5.2,35.4,126,334,,,
04-03-07,5.4,34.7,116,394,,,
08-03-07,5.8,35.8,79,300,,,
10-03-07,5.5,33.1,82,294,,,
14-03-07,5.1,34.9,94,305,,,
16-03-07,5.7,35.8,137,283,,,
20-03-07,5.1,62.9,155,380,,,
22-03-07,5.4,37,115,361,,,
26-03-07,5.1,30.3,170,423,,,
02-04-07,5.3,31.7,89,289,,,
08-04-07,5.2,31.7,89,284,,,
10-04-07,5.1,35,88,282,,,
14-04-07,5.2,35.8,113,371,,,
18-04-07,5.4,34.4,56,179,,,
20-04-07,5.5,32.8,119,311,,,
22-04-07,7.7,39.9,81,347,,,
26-04-07,7,31.6,88,237,,,
28-04-07,5.7,23.4,87,263,,,
02-05-07,5.3,27.2,70,287,,,
04-05-07,4.9,28.7,74,276,,,
08-05-07,12,33.2,75,263,,,
11-05-07,5.6,34.7,89,282,,,
14-05-07,4.8,35.8,82,367,,,
16-05-07,5.4,31.2,91,286,,,
20-05-07,4.9,32.1,71,260,,,
22-05-07,5.1,37.3,78,327,,,
26-05-07,5.2,30,96,298,,,
02-06-07,5.3,31.1,69,311,,,
04-06-07,5.1,32.3,94,246,,,
08-06-07,5,33.4,34,197,,,
10-06-07,5.2,34.2,64,210,,,
16-06-07,5.4,30.5,50,200,,,
18-06-07,5.2,36,58,256,,,
20-06-07,6.1,33.5,40,225,,,
22-06-07,5.1,32.2,67,164,,,
26-06-07,4.8,32.8,80,204,,,
02-07-07,5.6,31.9,97,404,,,
04-07-07,5.7,33.3,81,284,,,
08-07-07,5,32.9,76,403,,,
14-07-07,5.2,33,74,308,,,
16-07-07,5.3,27.7,52,272,,,
24-07-07,4.9,31.4,69,360,,,
26-07-07,5.4,34,71,263,,,
28-07-07,4.7,30.3,69,240,,,
02-08-07,5.1,21.1,52,244,,,
04-08-07,5.4,27.7,63,246,,,
08-08-07,5.4,26.3,69,283,,,
10-08-07,5.2,29.3,48,240,,,
16-08-07,4.9,39.4,54,336,,,
20-08-07,4.9,30,53,137,,,
22-08-07,5.2,27.1,47,238,,,
26-08-07,5.1,32.9,71,231,,,
28-08-07,5.4,26.9,83,222,,,
02-09-07,5.2,28.8,65,168,,,
04-09-07,5.4,30.6,50,163,,,
08-09-07,4.9,27.1,50,147,,,
10-09-07,5.2,26.7,47,187,,,
14-09-07,4.7,31.2,55,142,,,
20-09-07,5.1,29.2,61,160,,,
22-09-07,5.7,27.2,76,265,,,
26-09-07,5.4,31.9,53,245,,,
28-09-07,5.3,31.2,54,233,,,
04-10-07,5.2,30.8,96,296,,,
08-10-07,5.1,28.8,112,339,,,
10-10-07,5.3,31,125,318,,,
14-10-07,5,29.4,96,294,,,
16-10-07,5.2,30.1,113,365,,,
20-10-07,5.1,32.4,76,279,,,
22-10-07,5.4,31.6,100,322,,,
26-10-07,4.9,30.9,83,252,,,
28-10-07,4.9,32.2,102,291,,,
06-11-07,5.4,31,131,358,,,
14-11-07,5.5,38.5,110,431,,,
16-11-07,6.2,41,126,347,,,
18-11-07,5.3,35,133,362,,,
20-11-07,5.6,35.9,101,309,,,
22-11-07,5.7,38.2,140,371,,,
24-11-07,5.4,37.8,135,336,,,
27-11-07,5.5,43.9,135,386,,,
28-11-07,4.9,37.7,141,323,,,
06-12-07,5.3,36.7,122,313,,,
08-12-07,5.3,37.7,131,356,,,
10-12-07,5.5,37.3,133,345,,,
12-12-07,5.2,33.3,124,334,,,
14-12-07,5.6,34.9,121,365,,,
16-12-07,5.5,34.5,111,337,,,
18-12-07,5.5,33.7,115,356,,,
20-12-07,5.4,34,124,351,,,
22-12-07,5.4,32.5,123,331,,,
02-01-08,5.2,31.7,105,311,,,
04-01-08,5.4,35,163,399,,,
08-01-08,5.5,30.3,154,368,,,
10-01-08,5.5,27.2,137,355,,,
14-01-08,4.8,24.7,94,225,,,
21-01-08,5.3,32.2,75,325,,,
22-01-08,5.4,27.7,88,373,,,
23-01-08,5.6,31.3,83,357,,,
28-01-08,5.5,31.2,106,315,,,
29-01-08,5.4,30.9,92,357,,,
02-02-08,5.4,35,102,340,,,
04-02-08,5.5,35,98,341,,,
08-02-08,5.1,34.6,89,353,,,
16-02-08,5.2,27.3,125,330,,,
18-02-08,5.2,30,99,272,,,
20-02-08,5.2,27.5,93,290,,,
22-02-08,5.4,30.3,115,340,,,
24-02-08,5.3,29.2,114,332,,,
28-02-08,5.1,31.3,115,327,,,
02-03-08,5.3,32.4,51,252,,,
04-03-08,5.2,33.5,137,345,,,
08-03-08,5.2,31.6,110,351,,,
10-03-08,5.2,39.7,190,410,,,
14-03-08,5.2,37.1,159,382,,,
16-03-08,5.1,32.9,79,289,,,
20-03-08,5.6,34.7,97,284,,,
22-03-08,5.2,34.7,61,204,,,
26-03-08,5.8,34.3,66,192,,,
02-04-08,5.2,34,114,358,,,
04-04-08,5.5,34.9,94,273,,,
08-04-08,5.4,35,96,263,,,
10-04-08,5.6,33.1,109,313,,,
14-04-08,5.2,33.3,107,306,,,
20-04-08,5.3,33.1,103,299,,,
22-04-08,5.4,35.9,109,329,,,
24-04-08,5.4,34.9,104,301,,,
26-04-08,5.3,35.2,101,275,,,
04-05-08,5.4,34.8,113,322,,,
08-05-08,5.3,34.8,113,325,,,
10-05-08,5.3,34.8,116,323,,,
12-05-08,5.4,35.5,123,355,,,
14-05-08,5.2,32.6,140,424,,,
16-05-08,5.7,34.2,132,364,,,
22-05-08,5.4,33,65,216,,,
26-05-08,5.2,32.8,114,323,,,
02-06-08,5.2,33,67,280,,,
04-06-08,5.2,34.2,60,171,,,
08-06-08,5.1,34.3,100,293,,,
10-06-08,5,36.9,63,272,,,
14-06-08,5.2,33.3,122,360,,,
16-06-08,5.2,34.2,105,300,,,
20-06-08,5.2,33.2,107,312,,,
22-06-08,5.3,31.9,117,337,,,
26-06-08,5.7,36.2,105,304,,,
02-07-08,5.2,34.9,122,351,,,
04-07-08,5.2,34.8,95,273,,,
08-07-08,5.2,35.5,104,307,,,
10-07-08,5.1,34.3,115,322,,,
16-07-08,5.2,34.2,113,346,,,
20-07-08,5.2,34,104,302,,,
22-07-08,5.2,34.8,110,311,,,
24-07-08,5.1,34.5,42,135,,,
26-07-08,5.2,34.3,121,353,,,
02-08-08,5.2,33.3,113,327,,,
08-08-08,5,33.2,97,271,,,
10-08-08,5,32.7,93,255,,,
12-08-08,5.1,33.8,97,272,,,
14-08-08,5.1,34,98,289,,,
16-08-08,5,34.5,97,277,,,
20-08-08,5,34.2,102,312,,,
22-08-08,5.1,33.2,106,315,,,
26-08-08,5,34.3,106,299,,,
02-09-08,5.3,34.8,101,288,,,
04-09-08,5.2,34.6,97,275,,,
10-09-08,5.1,33.2,95,271,,,
12-09-08,5,31.6,95,265,,,
14-09-08,5,34.6,88,255,,,
16-09-08,5.1,28.8,94,273,,,
20-09-08,5,31.1,76,222,,,
22-09-08,5.1,33.3,102,293,,,
26-09-08,5.1,31.4,110,287,,,
02-10-08,5.1,30.3,96,266,,,
04-10-08,5.1,28.3,75,216,,,
08-10-08,5.1,27.8,89,249,,,
10-10-08,5.1,28.6,67,195,,,
14-10-08,5.1,28.6,98,280,,,
16-10-08,5,28.8,101,298,,,
20-10-08,4.8,27.7,97,278,,,
22-10-08,5.1,28.3,95,278,,,
27-10-08,6.5,79,169,364,,,
02-11-08,5.1,27.2,93,237,,,
04-11-08,5.2,28,100,290,,,
08-11-08,5.1,28.5,125,364,,,
12-11-08,5.2,28.2,112,320,,,
14-11-08,5.2,29.2,109,316,,,
16-11-08,5.2,27.8,104,307,,,
20-11-08,5.3,27.7,115,324,,,
22-11-08,4.9,30.3,111,323,,,
26-11-08,4.8,31.1,123,416,,,
02-12-08,5,28.8,109,309,,,
04-12-08,5,28.7,111,318,,,
10-12-08,5,28.2,96,279,,,
12-12-08,5.2,29.2,107,306,,,
14-12-08,5,28,109,304,,,
16-12-08,5.1,28.3,102,304,,,
20-12-08,5.1,28.8,104,293,,,
23-12-08,5,28.7,101,289,,,
26-12-08,5.3,28.7,100,285,,,
02-01-09,5.4,28,101,289,,,
04-01-09,5,28.5,97,289,,,
08-01-09,4.9,28.5,99,283,,,
10-01-09,4.6,27.7,88,266,,,
14-01-09,4.7,25.2,85,255,,,
16-01-09,4.7,29,95,274,,,
20-01-09,4.8,28.6,111,319,,,
22-01-09,4.8,28.7,112,319,,,
28-01-09,5.1,28.8,107,311,,,
02-02-09,5.4,28.7,109,316,,,
04-02-09,4.8,28.7,115,330,,,
08-02-09,5.2,28.7,121,358,,,
10-02-09,4.9,27.7,138,366,,,
14-02-09,4.7,28.5,113,324,,,
16-02-09,4.9,28.3,111,317,,,
20-02-09,5,26.9,120,340,,,
22-02-09,5.1,28,106,301,,,
26-02-09,5.1,29.1,105,296,,,
02-03-09,5.2,29,129,372,,,
04-03-09,5.2,28.5,119,345,,,
08-03-09,5.1,28.4,130,377,,,
10-03-09,5.4,28,119,351,,,
14-03-09,4.6,27.4,115,341,,,
16-03-09,5.2,27.7,104,312,,,
20-03-09,5.4,28.1,114,334,,,
22-03-09,5.1,28,109,310,,,
26-03-09,5.1,28,115,344,,,
02-04-09,5.2,27.7,123,362,,,
04-04-09,5.1,27,114,330,,,
08-04-09,5.4,28.3,115,330,,,
10-04-09,4.7,26.5,89,250,,,
14-04-09,4.7,25.8,106,295,,,
16-04-09,5.2,25.5,115,334,,,
20-04-09,5,27.8,105,302,,,
22-04-09,5.2,27.5,113,329,,,
26-04-09,5.1,26.2,110,326,,,
02-05-09,5.1,27,123,365,,,
04-05-09,5.2,25.7,109,328,,,
08-05-09,5.2,25.8,115,333,,,
10-05-09,5.2,27.2,115,344,,,
14-05-09,5.2,26.4,106,316,,,
16-05-09,5.1,26.3,97,301,,,
20-05-09,5.2,26.3,88,267,,,
22-05-09,5.1,27.5,112,328,,,
26-05-09,4.7,26.8,96,284,,,
02-06-09,5,26.3,114,325,,,
04-06-09,5.1,24.7,113,329,,,
10-06-09,5,27.1,93,284,,,
14-06-09,4.8,25.7,109,322,,,
16-06-09,4.9,25.5,109,314,,,
20-06-09,5,24.7,110,322,,,
28-06-09,5,27.1,118,339,,,
29-06-09,5.3,27.8,80,237,,,
30-06-09,5,25.6,73,214,,,
02-07-09,5,25.8,55,158,,,
04-07-09,5.1,24.4,65,194,,,
08-07-09,4.6,24.1,75,212,,,
10-07-09,4.9,24.2,70,196,,,
14-07-09,4.5,25.4,85,242,,,
16-07-09,4.4,24.6,72,199,,,
20-07-09,5,26,96,292,,,
22-07-09,5,25.8,55,162,,,
26-07-09,5,25.9,96,290,,,
02-08-09,4.7,26.4,108,321,,,
04-08-09,5.2,25.1,80,246,,,
08-08-09,4.9,25.9,108,261,,,
10-08-09,5.2,25.4,92,246,,,
14-08-09,5,25.8,81,236,,,
16-08-09,4.4,24.6,73,219,,,
20-08-09,5.1,25.5,63,177,,,
22-08-09,5.1,24.8,57,172,,,
26-08-09,5,22.9,52,160,,,
02-09-09,5,24,58,177,,,
08-09-09,4.8,24.7,80,240,,,
10-09-09,5.2,26.3,92,284,,,
14-09-09,4.4,23.7,90,272,,,
16-09-09,4.6,23.8,97,281,,,
20-09-09,4.7,23.3,94,269,,,
22-09-09,4.8,24.2,90,261,,,
26-09-09,4.8,24.3,102,300,,,
28-09-09,4.7,23.4,91,280,,,
02-10-09,5.2,24.1,50,144,,,
04-10-09,5.1,23.4,40,141,,,
08-10-09,5.1,27,67,235,,,
10-10-09,5,25.1,98,300,,,
14-10-09,4.9,24,97,289,,,
16-10-09,4.3,39.9,220,458,,,
18-10-09,12.4,47.8,223,484,,,
20-10-09,4.9,25.4,100,303,,,
22-10-09,5.2,25.1,106,305,,,
02-11-09,5.3,26.7,98,297,,,
04-11-09,5.4,27.5,101,298,,,
08-11-09,5.2,27.3,129,307,,,
10-11-09,5.6,27,100,261,,,
14-11-09,4.9,27,76,233,,,
16-11-09,5.2,26.5,100,280,,,
20-11-09,4.9,24.5,102,295,,,
22-11-09,5.1,26.5,105,303,,,
26-11-09,5,26.4,106,285,,,
02-12-09,4.6,26.5,101,303,,,
04-12-09,5.5,30.1,94,291,,,
08-12-09,4.8,26.7,95,265,,,
10-12-09,5.2,29.5,111,311,,,
14-12-09,5.5,28.9,122,353,,,
16-12-09,5.8,28.9,105,284,,,
20-12-09,5,26.5,136,356,,,
22-12-09,5.1,28.7,130,314,,,
26-12-09,12.5,24.2,111,320,,,
02-01-10,5.3,26.9,106,311,,,
04-01-10,5.2,27.3,121,336,,,
08-01-10,5.3,27.8,128,338,,,
10-01-10,5,29.4,113,303,,,
14-01-10,5.7,28.3,106,316,,,
16-01-10,5.3,25.9,108,284,,,
20-01-10,4.9,24.4,105,275,,,
22-01-10,5.2,27.1,128,370,,,
26-01-10,5.4,28.5,135,400,,,
